sha1,project_name,extra,wasted,rework,Change_Parameter_Type,Change_Return_Type,Change_Variable_Type,Extract_Attribute,Extract_Class,Extract_Interface,Extract_Method,Extract_Subclass,Extract_Superclass,Extract_Variable,Inline_Method,Inline_Variable,Merge_Attribute,Merge_Parameter,Merge_Variable,Move_Attribute,Move_Class,Move_Method,Parameterize_Variable,Pull_Up_Attribute,Pull_Up_Method,Push_Down_Attribute,Push_Down_Method,Rename_Attribute,Rename_Class,Rename_Method,Rename_Parameter,Rename_Variable,Replace_Attribute,Replace_Variable_With_Attribute,Split_Attribute,Split_Parameter,Split_Variable,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
a5f76f73a4d06219522f69d13d8f364c0a43490b,mockito,0,26,26,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,2,12,5,0,0,0,0,0,0,6,6,0,30,30,0
fc40df5a0a9769a9cb11dee8e46c9bd17e0ab130,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a20382256ce8e1a409f7133780517e20eed0bde,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585b06d890b5e78857a5c5d5a2301065c2cac08b,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82935114a09390cbab0c6b6df9b6fd6788bf55d9,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,1,2,5,3,2
96283c6fbf9f6eb7293e44392e94011973f29842,mockito,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,5,4,1,9,8,1
09a3baa20cffdd1b23558047911be7d603698540,mockito,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,1,0,9,9,0
e9d91e04f8d990fd4328d1433b4625b7c94fa6fa,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6c2b7aeafc5b88de68ee755023795e4c7660a67,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
b9e474a6c3d00b6ea3af9f1caed718cfc8990cd1,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
d0c872e4b0837aef1e1635bf5f15d33c3d8d9698,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36a7114dc934c1594beac518605d874cb10a08f9,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0cca6a334ec112dec1b3b551e2c762ce0bb5081,mockito,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14,14,0
3d9e05bd61d31625f8716a6c20d0b4089cf90cc2,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef79f56a8ad21f2d58398b540bcb85a58c3281c3,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4578731fa64ddf868c66b2e04d8d56893018b9db,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e6b782d1b2aadd52534fcbc0871832b3ecda91a9,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1802cf79c482f2df29abb3d6735bcf0b16cedb7d,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
1110169f0645887597b2723cda4b152e58c42980,mockito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d5808bfeb0ead973550d69bbc2b29db6f74695c,mockito,0,0,0,18,14,12,0,1,2,3,0,0,0,1,0,0,0,0,1,18,1,1,3,5,0,0,9,18,14,17,7,0,1,0,0,0,50,50,0,146,146,0
b8cfa22bd410c78656101a9eb02f3eab4be97e32,mockito,0,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0
e49d2db677d52c1d0260363160e669730c6c0435,mockito,1,50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0
